id,emp id,core comp,categ,tool_cap,skills,exp,Level,cert,interest,
11066,100,Product Management ,3,General / UX Design,UX Design,3,6,2,1 - Develop,2
11067,100,Product Management ,3,Strategy & Execution,Product strategy,1,9,2,2 - Engage,2
11068,100,Product Management ,3,Strategy & Execution,KPI definition,1,9,2,2 - Engage,2
11069,100,Product Management ,3,Strategy & Execution,Requirements definition,1,9,2,2 - Engage,2
11070,100,Product Management ,3,Strategy & Execution,Requirements prioritization,1,9,2,2 - Engage,2
11071,100,Product Management ,3,Strategy & Execution,Road-mapping,1,9,2,2 - Engage,2
11072,100,Product Management ,3,Strategy & Execution,Backlog refinement,1,9,2,2 - Engage,2
11073,100,Product Management ,3,Strategy & Execution,Business Case Creation and Budget Management,1,8,2,1 - Develop,2
11074,100,DIGITAL ENABLEMENT,4,MarTech,Analytics,1,7,2,1 - Develop,2
11075,100,DIGITAL ENABLEMENT,4,MarTech,Content Management Systems,1,8,2,2 - Engage,2
11076,100,DIGITAL ENABLEMENT,4,MarTech,A/B & Multi-Variate Testing,2,7,2,2 - Engage,2
11077,100,DIGITAL ENABLEMENT,4,MarTech,Personalization & Targeting Engines,1,7,2,1 - Develop,2
11078,100,DIGITAL ENABLEMENT,4,MarTech,Digital Asset Management,3,6,2,1 - Develop,2
11079,100,DIGITAL ENABLEMENT,4,MarTech,E-Mail / Marketing Automation Platforms,3,6,2,1 - Develop,2
11080,100,DIGITAL ENABLEMENT,4,MarTech,Data Management Platforms (DMP),3,6,2,1 - Develop,2
11081,100,DIGITAL ENABLEMENT,4,MarTech,Social Marketing Platforms,3,6,2,1 - Develop,2
11082,100,DIGITAL ENABLEMENT,4,MarTech,<OTHER HERE>,,,2,,2
11083,100,DIGITAL ENABLEMENT,4,MarTech,<OTHER HERE>,,,2,,2
11084,100,DIGITAL ENABLEMENT,4,MarTech,<OTHER HERE>,,,2,,2
